City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,st. john's,47.5649,-52.7093,5.08,84,100,6.69,CA,1712966759
1,ponta delgada,37.7333,-25.6667,18.44,88,40,3.6,PT,1712966759
2,tiksi,71.6872,128.8694,-18.01,86,98,9.56,RU,1712966760
3,buka,40.8108,69.1986,15.99,78,100,1.85,UZ,1712966760
4,northam,51.0333,-4.2167,10.9,94,100,3.31,GB,1712966760
5,fale old settlement,-9.3852,-171.2468,29.91,71,94,3.05,TK,1712966761
6,toliara,-23.35,43.6667,20.17,77,37,4.65,MG,1712966761
7,kyzylorda,44.8528,65.5092,9.01,46,0,5.0,KZ,1712966761
8,badger,64.8,-147.5333,4.43,68,75,5.66,US,1712966762
9,olinda,-8.0089,-34.8553,28.85,79,40,4.12,BR,1712966762
10,grytviken,-54.2811,-36.5092,0.66,92,62,7.02,GS,1712966762
11,san patricio,28.017,-97.5169,25.05,54,100,5.88,US,1712966762
12,rongelap,11.1635,166.8941,27.01,74,95,7.94,MH,1712966763
13,urangan,-25.3,152.9,25.67,74,1,4.02,AU,1712966763
14,igarka,67.4667,86.5833,-10.63,80,100,10.18,RU,1712966763
15,waitangi,-43.9535,-176.5597,17.12,97,100,4.92,NZ,1712966764
16,bethel,41.3712,-73.414,14.31,67,0,5.66,US,1712966764
17,adamstown,-25.066,-130.1015,22.12,63,11,6.65,PN,1712966764
18,kombissiri,12.0656,-1.3375,32.99,19,84,2.34,BF,1712966765
19,edinburgh of the seven seas,-37.0676,-12.3116,19.56,85,95,10.5,SH,1712966765
20,san antonio de pale,-1.4014,5.6325,28.03,78,72,6.13,GQ,1712966765
21,papatowai,-46.5619,169.4708,11.71,69,52,2.5,NZ,1712966766
22,queenstown,-31.8976,26.8753,5.64,87,57,0.97,ZA,1712966766
23,estes park,40.3772,-105.5217,21.02,26,1,3.58,US,1712966766
24,vila franca do campo,37.7167,-25.4333,18.27,99,98,2.71,PT,1712966766
25,jamestown,42.097,-79.2353,5.85,92,100,8.23,US,1712966767
26,yellowknife,62.456,-114.3525,4.29,65,75,6.69,CA,1712966767
27,port-aux-francais,-49.35,70.2167,9.14,98,100,14.36,TF,1712966767
28,kidal,18.4411,1.4078,25.56,13,14,7.96,ML,1712966768
29,nishinoomote,30.7333,131.0,17.31,100,75,3.6,JP,1712966769
30,fort bragg,35.139,-79.006,14.55,85,100,3.09,US,1712966769
31,amuntai,-2.4177,115.2494,25.79,93,98,1.14,ID,1712966769
32,puerto natales,-51.7236,-72.4875,5.71,95,32,2.17,CL,1712966769
33,granja,-3.1203,-40.8261,23.95,100,91,1.35,BR,1712966770
34,nuku'alofa,-21.1333,-175.2,29.19,79,40,3.6,TO,1712966770
35,uturoa,-16.7333,-151.4333,28.24,80,95,11.01,PF,1712966770
36,vihari,30.0333,72.35,26.8,29,54,2.23,PK,1712966771
37,iqaluit,63.7506,-68.5145,-11.15,67,20,5.66,CA,1712966583
38,cockburn town,21.4612,-71.1419,25.98,73,40,5.14,TC,1712966771
39,afaahiti,-17.75,-149.2833,29.93,80,100,10.55,PF,1712966771
40,muromtsevo,56.3724,75.2418,2.74,97,100,4.12,RU,1712966772
41,superior,46.7208,-92.1041,13.54,33,40,7.72,US,1712966772
42,blackmans bay,-43.0167,147.3167,17.07,67,85,2.24,AU,1712966772
43,shimokizukuri,40.8061,140.3861,15.62,74,0,2.32,JP,1712966773
